fund_symbol,price_year,avg_open,avg_high,avg_low,avg_close,avg_adj_close,avg_transaction_price,avg_transaction_volume,avg_transaction_value,yearly_risk,yearly_loss
CPER,2019,17.047103174603173,17.10884920634921,16.986626984126985,17.047579365079365,17.047579365079365,17.047579365079365,11246.42857142857,194732.37301587302,0.009886534130832706,-0.03850385038503845
CPER,2020,17.497312252964427,17.596561264822135,17.349604743083002,17.48723320158103,17.48723320158103,17.48723320158103,49643.87351778656,927137.7786561265,0.01525203849362167,-0.06896551724137934
CPI,2009,25.21369565217391,25.28891304347826,25.052608695652175,25.168695652173913,23.71782608695652,23.71782608695652,8834.782608695652,209686.4347826087,0.006479702530712517,-0.023515344758868073
CPI,2010,25.205079365079367,25.25154761904762,25.12805555555556,25.188055555555557,23.73623015873016,23.73623015873016,5391.666666666667,127969.75,0.003190662456677884,-0.011853022520742718
CPI,2011,25.616825396825394,25.64611111111111,25.561904761904763,25.5975,24.12607142857143,24.12607142857143,5683.730158730159,137427.45634920636,0.0022741056240661427,-0.007338740826574042
CPI,2012,26.30228,26.341240000000003,26.245919999999998,26.28232,24.82252,24.82252,12238.0,303993.148,0.0018539983677146757,-0.0045977011494253706
CPI,2013,26.115198412698412,26.14388888888889,26.08813492063492,26.11416666666667,24.678015873015873,24.678015873015873,17594.84126984127,435182.25396825396,0.0024546948132342337,-0.012326656394452962
CPI,2014,26.43123015873016,26.455674603174604,26.40575396825397,26.429761904761907,25.002142857142857,25.002142857142857,17894.444444444445,445452.27777777775,0.0023081652067792275,-0.006395786305492757
CPI,2015,26.596309523809527,26.626468253968252,26.56424603174603,26.592817460317463,25.179444444444446,25.179444444444446,3335.3174603174602,84002.11111111111,0.0037653763852425895,-0.02795145273997801
CPI,2016,26.717738095238094,26.745238095238097,26.684880952380954,26.717896825396824,25.30063492063492,25.30063492063492,3246.4285714285716,81854.76190476191,0.002131016297133749,-0.009841029523088629
CPI,2017,27.347171314741036,27.367131474103584,27.33219123505976,27.351513944223107,25.903386454183266,25.903386454183266,3467.7290836653387,89428.95219123506,0.0014653181350360602,-0.011891891891891881
CPI,2018,27.652908366533865,27.68027888446215,27.615059760956175,27.64346613545817,26.46155378486056,26.46155378486056,9628.286852589641,254894.11553784861,0.002469439582228065,-0.01635079895949465
CPI,2019,27.75873015873016,27.77722222222222,27.739285714285714,27.76019841269841,26.921944444444446,26.921944444444446,3271.4285714285716,87661.96428571429,0.00222425335280714,-0.02244039270687237
CPI,2020,27.244347826086955,27.27565217391304,27.19889328063241,27.241383399209486,26.976600790513835,26.976600790513835,3573.122529644269,95592.23715415019,0.004007451178965362,-0.03239017125837684
CRAK,2015,19.33967741935484,19.43956989247312,19.184623655913978,19.301290322580645,17.164301075268817,17.164301075268817,12050.537634408602,206847.32258064515,0.014466949353638427,-0.04467168998923565
CRAK,2016,19.392857142857142,19.4584126984127,19.320912698412698,19.3859126984127,17.3365873015873,17.3365873015873,2936.904761904762,51382.93650793651,0.012381470144860154,-0.0380863910822109
CRAK,2017,24.51613545816733,24.63239043824701,24.41764940239044,24.53199203187251,22.67605577689243,22.67605577689243,3783.266932270916,93499.74900398406,0.008322891229861079,-0.02275711159737437
CRAK,2018,31.77207171314741,31.958247011952192,31.55577689243028,31.7394422310757,29.78203187250996,29.78203187250996,28910.358565737053,866362.1952191235,0.011755648467513532,-0.03553299492385775
CRAK,2019,28.225238095238097,28.34357142857143,28.12579365079365,28.24170634920635,27.133968253968256,27.133968253968256,11579.36507936508,324833.873015873,0.009606847046296097,-0.03995601173020524
CRAK,2020,22.132332015810277,22.285177865612646,21.921462450592887,22.096521739130434,21.543478260869566,21.543478260869566,14667.98418972332,317275.56916996045,0.02639011896461252,-0.12742857142857145
CROC,2012,38.378672566371684,38.45035398230089,38.29610619469027,38.36725663716814,38.36725663716814,38.36725663716814,2605.309734513274,100543.99115044248,0.009654025617998128,-0.028841372451516523
CROC,2013,41.899523809523814,42.07281746031746,41.677301587301585,41.863611111111105,41.863611111111105,41.863611111111105,15318.253968253968,665565.3452380953,0.012842131346763618,-0.043447955390334525
CROC,2014,43.98873015873016,44.140119047619045,43.85563492063493,44.00984126984127,44.00984126984127,44.00984126984127,6801.190476190476,303348.3849206349,0.010547874744596081,-0.04016649323621224
CROC,2015,57.77011904761905,58.030833333333334,57.470793650793645,57.75202380952381,57.75202380952381,57.75202380952381,6591.269841269841,379023.74206349207,0.015004094557517817,-0.044208664898320094
CROC,2016,53.86055555555556,54.03944444444445,53.65130952380952,53.82765873015873,53.82765873015873,53.82765873015873,4130.158730158731,224407.18253968254,0.014559520305495326,-0.03775801308944449
CROC,2017,48.207729083665335,48.2888047808765,48.06262948207171,48.148446215139444,48.148446215139444,48.148446215139444,2938.2470119521913,141904.11952191236,0.009246755735090557,-0.032945736434108586
CROC,2018,49.60326693227092,49.724741035856574,49.509043824701195,49.628366533864536,49.628366533864536,49.628366533864536,2262.5498007968126,108346.64541832669,0.010895136526236242,-0.0332541567695962
CROC,2019,57.00547619047619,57.09480158730158,56.86654761904762,56.98150793650794,56.98150793650794,56.98150793650794,1794.8412698412699,103293.35714285714,0.008842996742766136,-0.033589422905127675
CROC,2020,56.899367588932805,57.23699604743083,56.570395256916996,56.947035573122534,56.947035573122534,56.947035573122534,2081.818181818182,119959.07509881422,0.018077565934609293,-0.05158096454806771
CSA,2015,33.67258064516129,33.69491935483871,33.61879032258065,33.642258064516135,31.2975,31.2975,4036.2903225806454,126664.12096774194,0.010431480046190352,-0.04111644657863145
